,liquidityGross,liquidityNet,tickIdx
0,0,0,-178920
1,0,0,-207240
2,0,0,-213540
3,0,0,-218400
4,0,0,-226200
5,0,0,-228240
6,0,0,-230280
7,0,0,-233160
8,0,0,-233880
9,0,0,-234420
10,0,0,-234600
11,0,0,-235260
12,0,0,-235380
13,0,0,-236700
14,0,0,-237060
15,23404213435688813,-23404213435688813,-237180
16,0,0,-238140
17,0,0,-238200
18,0,0,-238920
19,0,0,-239280
20,0,0,-239400
21,0,0,-239460
22,0,0,-239640
23,0,0,-240540
24,0,0,-240660
25,0,0,-240840
26,0,0,-240900
27,0,0,-241080
28,565561031629319,-565561031629319,-241380
29,3580268793497557,-3580268793497557,-241500
30,0,0,-241560
31,0,0,-241740
32,989679671067113,-989679671067113,-241800
33,0,0,-241860
34,0,0,-241980
35,0,0,-242040
36,0,0,-242160
37,0,0,-242280
38,0,0,-242340
39,0,0,-242640
40,0,0,-242760
41,0,0,-242880
42,32531205221878706,-32531205221878706,-243000
43,0,0,-243420
44,249713169565930,-249713169565930,-243480
45,5831507235691307,-5831507235691307,-243600
46,0,0,-243720
47,979256545310856,-979256545310856,-243840
48,0,0,-243960
49,0,0,-244380
50,0,0,-244500
51,0,0,-244560
52,0,0,-245160
53,0,0,-245340
54,0,0,-245580
55,0,0,-245820
56,565561031629319,565561031629319,-245880
57,0,0,-246240
58,0,0,-246300
59,0,0,-246360
60,0,0,-246420
61,1618003732558772,-1618003732558772,-246600
62,0,0,-246960
63,0,0,-247020
64,0,0,-247080
65,0,0,-247260
66,0,0,-247320
67,0,0,-247380
68,0,0,-247440
69,0,0,-247500
70,0,0,-247740
71,0,0,-247920
72,989679671067113,989679671067113,-247980
73,0,0,-248100
74,0,0,-248160
75,0,0,-248400
76,0,0,-248460
77,0,0,-248580
78,0,0,-248640
79,0,0,-248880
80,0,0,-248940
81,0,0,-249000
82,0,0,-249180
83,0,0,-249240
84,0,0,-249300
85,0,0,-249480
86,0,0,-249660
87,0,0,-249720
88,0,0,-249780
89,0,0,-249840
90,0,0,-249900
91,0,0,-249960
92,0,0,-250140
93,0,0,-250200
94,0,0,-250380
95,0,0,-250440
96,0,0,-250500
97,0,0,-250620
98,0,0,-250680
99,0,0,-250740
100,0,0,-250800
101,0,0,-250920
102,860598008536070,860598008536070,-251040
103,0,0,-251100
104,0,0,-251160
105,0,0,-251280
106,0,0,-251340
107,0,0,-251400
108,0,0,-251460
109,0,0,-251520
110,0,0,-251580
111,0,0,-251640
112,32531205221878706,32531205221878706,-251700
113,0,0,-251760
114,0,0,-251940
115,0,0,-252000
116,0,0,-252060
117,0,0,-252240
118,0,0,-252300
119,0,0,-252360
120,5831507235691307,5831507235691307,-252420
121,0,0,-252480
122,0,0,-252540
123,0,0,-252600
124,0,0,-252720
125,0,0,-252780
126,0,0,-252840
127,0,0,-252900
128,0,0,-252960
129,0,0,-253020
130,0,0,-253140
131,1618003732558772,1618003732558772,-253200
132,0,0,-253260
133,0,0,-253320
134,0,0,-253440
135,0,0,-253560
136,0,0,-253620
137,0,0,-253680
138,0,0,-253800
139,0,0,-254160
140,0,0,-254280
141,0,0,-254340
142,0,0,-254700
143,0,0,-254820
144,3580268793497557,3580268793497557,-255360
145,0,0,-255540
146,0,0,-255660
147,0,0,-255780
148,0,0,-255840
149,0,0,-256080
150,0,0,-256140
151,0,0,-256200
152,0,0,-256320
153,0,0,-256380
154,22543615427152743,22543615427152743,-256620
155,0,0,-256680
156,0,0,-256740
157,0,0,-256800
158,0,0,-256860
159,0,0,-257280
160,249713169565930,249713169565930,-257340
161,0,0,-257460
162,0,0,-257520
163,0,0,-258180
164,0,0,-258240
165,0,0,-258300
166,0,0,-258420
167,0,0,-258540
168,0,0,-258600
169,0,0,-259200
170,0,0,-259320
171,0,0,-259440
172,979256545310856,979256545310856,-260100
173,0,0,-260220
174,0,0,-261540
175,0,0,-261960
176,0,0,-262440
177,0,0,-264300
178,0,0,-265380
179,0,0,-414480
180,0,0,-887220
